日期,最高气温,最低气温
20151227,9,4
20151228,9,4
20151229,9,4
20151230,9,3
20151231,9,3
20160101,9,3
20160102,9,3
20160103,9,3
20160104,9,3
20160105,9,3
20160106,9,3
20160107,9,3
20160108,9,3
20160109,9,3
20160110,9,3
20160111,9,3
20160112,9,3
20160113,9,3
20160114,9,3
20160115,9,3
20160116,9,3
20160117,9,3
20160118,9,3
20160119,9,3
20160120,10,3
20160121,10,3
20160122,10,3
20160123,10,3
20160124,10,3
20160125,10,3
20160126,10,3
20160127,10,4
20160128,10,4
20160129,10,4
20160130,10,4
20160131,10,4
20160201,10,4
20160202,10,4
20160203,10,4
20160204,11,4
20160205,11,5
20160206,11,5
20160131,10,4
20160201,10,4
20160202,10,4
20160203,10,4
20160204,11,4
20160205,11,5
20160206,11,5
20160207,11,5
20160208,11,5
20160209,11,5
20160210,11,5
20160211,11,5
20160212,11,5
20160213,12,5
20160214,12,5
20160215,12,6
20160216,12,6
20160217,12,6
20160218,12,6
20160219,12,6
20160220,12,6
20160221,13,6
20160222,13,6
20160223,13,6
20160224,13,6
20160225,13,6
20160226,13,6
20160227,13,6
20160228,14,6
20160229,14,6
20160301,14,7
20160302,14,7
20160303,14,7
20160304,14,7
20160305,14,7
20160228,14,6
20160229,14,6
20160301,14,7
20160302,14,7
20160303,14,7
20160304,14,7
20160305,14,7
20160306,14,7
20160307,15,7
20160308,15,7
20160309,15,7
20160310,15,8
20160311,15,8
20160312,15,8
20160313,16,8
20160314,16,8
20160315,16,8
20160316,16,9
20160317,16,9
20160318,16,9
20160319,16,9
20160320,17,9
20160321,17,9
20160322,17,10
20160323,17,10
20160324,17,10
20160325,17,10
20160326,18,10
20160327,18,10
20160328,18,10
20160329,18,11
20160330,18,11
20160331,19,11
20160401,19,11
20160402,19,11
20160327,18,10
20160328,18,10
20160329,18,11
20160330,18,11
20160331,19,11
20160401,19,11
20160402,19,11
20160403,19,11
20160404,19,11
20160405,20,12
20160406,20,12
20160407,20,12
20160408,20,12
20160409,20,12
20160410,21,12
20160411,21,12
20160412,21,13
20160413,21,13
20160414,22,13
20160415,22,13
20160416,22,13
20160417,22,13
20160418,23,13
20160419,23,14
20160420,23,14
20160421,23,14
20160422,23,14
20160423,24,14
20160424,24,14
20160425,24,15
20160426,24,15
20160427,24,15
20160428,25,15
20160429,25,15
20160430,25,15
20160501,25,16
20160502,25,16
20160503,25,16
20160504,25,16
20160505,26,16
20160506,26,16
20160507,26,16
20160508,26,16
20160509,26,17
20160510,26,17
20160511,26,17
20160512,26,17
20160513,26,17
20160514,26,17
20160515,27,17
20160516,27,17
20160517,27,18
20160518,27,18
20160519,27,18
20160520,27,18
20160521,27,18
20160522,27,18
20160523,27,18
20160524,27,18
20160525,27,19
20160526,27,19
20160527,27,19
20160528,27,19
20160529,27,19
20160530,27,19
20160531,27,20
20160601,28,20
20160602,28,20
20160603,28,20
20160604,28,20
20160529,27,19
20160530,27,19
20160531,27,20
20160601,28,20
20160602,28,20
20160603,28,20
20160604,28,20
20160605,28,20
20160606,28,20
20160607,28,20
20160608,28,20
20160609,28,21
20160610,28,21
20160611,28,21
20160612,28,21
20160613,28,21
20160614,28,21
20160615,28,21
20160616,28,21
20160617,28,21
20160618,28,21
20160619,28,21
20160620,28,21
20160621,28,21
20160622,28,21
20160623,28,21
20160624,28,21
20160625,28,21
20160626,28,21
20160627,28,21
20160628,28,21
20160629,28,21
20160630,28,21
20160701,29,21
20160702,29,22
20160626,28,21
20160627,28,21
20160628,28,21
20160629,28,21
20160630,28,21
20160701,29,21
20160702,29,22
20160703,29,22
20160704,29,22
20160705,29,22
20160706,29,22
20160707,29,22
20160708,29,22
20160709,29,22
20160710,29,22
20160711,29,22
20160712,30,22
20160713,30,22
20160714,30,22
20160715,30,22
20160716,30,23
20160717,30,23
20160718,30,23
20160719,30,23
20160720,30,23
20160721,30,23
20160722,30,23
20160723,30,23
20160724,31,23
20160725,31,23
20160726,31,23
20160727,31,23
20160728,31,23
20160729,31,23
20160730,31,23
20160731,31,23
20160801,31,23
20160802,31,23
20160803,31,23
20160804,31,22
20160805,31,22
20160806,30,22
20160731,31,23
20160801,31,23
20160802,31,23
20160803,31,23
20160804,31,22
20160805,31,22
20160806,30,22
20160807,30,22
20160808,30,22
20160809,30,22
20160810,30,22
20160811,30,22
20160812,30,22
20160813,30,22
20160814,30,22
20160815,30,22
20160816,30,22
20160817,29,22
20160818,29,22
20160819,29,21
20160820,29,21
20160821,29,21
20160822,29,21
20160823,29,21
20160824,29,21
20160825,28,21
20160826,28,21
20160827,28,21
20160828,28,21
20160829,28,21
20160830,28,21
20160831,28,21
20160901,28,21
20160902,28,20
20160903,27,20
20160828,28,21
20160829,28,21
20160830,28,21
20160831,28,21
20160901,28,21
20160902,28,20
20160903,27,20
20160904,27,20
20160905,27,20
20160906,27,20
20160907,27,20
20160908,27,20
20160909,27,20
20160910,26,20
20160911,26,19
20160912,26,19
20160913,26,19
20160914,26,19
20160915,26,19
20160916,25,19
20160917,25,19
20160918,25,18
20160919,25,18
20160920,25,18
20160921,25,18
20160922,24,18
20160923,24,18
20160924,24,18
20160925,24,18
20160926,24,17
20160927,23,17
20160928,23,17
20160929,23,17
20160930,23,17
20161001,23,17
20160925,24,18
20160926,24,17
20160927,23,17
20160928,23,17
20160929,23,17
20160930,23,17
20161001,23,17
20161002,22,17
20161003,22,17
20161004,22,17
20161005,22,16
20161006,22,16
20161007,22,16
20161008,21,16
20161009,21,16
20161010,21,16
20161011,21,16
20161012,21,15
20161013,21,15
20161014,21,15
20161015,21,15
20161016,20,15
20161017,20,15
20161018,20,14
20161019,20,14
20161020,20,14
20161021,20,14
20161022,20,14
20161023,20,14
20161024,20,13
20161025,20,13
20161026,20,13
20161027,19,13
20161028,19,13
20161029,19,13
20161030,19,12
20161031,19,12
20161101,19,12
20161102,19,12
20161103,18,12
20161104,18,12
20161105,18,12
20161030,19,12
20161031,19,12
20161101,19,12
20161102,19,12
20161103,18,12
20161104,18,12
20161105,18,12
20161106,18,11
20161107,18,11
20161108,18,11
20161109,17,11
20161110,17,11
20161111,17,11
20161112,17,10
20161113,17,10
20161114,16,10
20161115,16,10
20161116,16,10
20161117,16,10
20161118,15,9
20161119,15,9
20161120,15,9
20161121,15,9
20161122,14,9
20161123,14,8
20161124,14,8
20161125,14,8
20161126,14,8
20161127,13,8
20161128,13,7
20161129,13,7
20161130,13,7
20161201,12,7
20161202,12,7
20161203,12,6
20161127,13,8
20161128,13,7
20161129,13,7
20161130,13,7
20161201,12,7
20161202,12,7
20161203,12,6
20161204,12,6
20161205,12,6
20161206,12,6
20161207,11,6
20161208,11,5
20161209,11,5
20161210,11,5
20161211,11,5
20161212,11,5
20161213,11,5
20161214,10,5
20161215,10,4
20161216,10,4
20161217,10,4
20161218,10,4
20161219,10,4
20161220,10,4
20161221,10,4
20161222,10,4
20161223,10,4
20161224,10,4
20161225,10,4
20161226,10,4
20161227,9,4
20161228,9,4
20161229,9,4
20161230,9,3
20161231,9,3
